                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6433,                 2.8039,                 2.1295,                0.64335,                0.89588,                0.74707,                0.36207,                 3.6473,                 5.8702,                 6.1934,              0.0033185,              0.0033185,              0.0033185
                      2,                 1.2542,                 1.5974,                 1.7455,                0.46491,                0.93142,                 0.5793,                0.30247,                 3.7333,                 4.4714,                 5.1245,              0.0066189,              0.0066189,              0.0066189
                      3,                 1.2301,                  1.426,                 1.7206,                0.66221,                 0.8998,                0.74025,                0.41151,                   3.65,                 3.8412,                 5.4439,              0.0098863,              0.0098863,              0.0098863
